id,uuid,img_url,thumbnail
01447,sm4fbd5f06b6e6c490ebdeabf434165be3e,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_903,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_903/full/250,/0/default.jpg"
01448,sm480b55f1d32e0412cbb1e5ed9c27744ee,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_902,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_902/full/250,/0/default.jpg"
01449,sm43f032e2436894e20a258bc667292f2db,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_901,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_901/full/250,/0/default.jpg"
01450,sm407ad64f9c9564653afb26192fae1f461,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_900,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_900/full/250,/0/default.jpg"
01451,sm4b85822fd177b4c2c8c73ee1deccb86cb,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_90,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_90/full/250,/0/default.jpg"
01452,sm42e7841b99ea74f4ab4ba5171df443000,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_9,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_9/full/250,/0/default.jpg"
01453,sm4b11c9d39e08e47ebaa723c0afe804cf5,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_899,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_899/full/250,/0/default.jpg"
01454,sm4e2277a11a0924dd78e96e627a34934c5,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_898,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_898/full/250,/0/default.jpg"
01455,sm4487769029d934518b8d7ed67cfce2765,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_897,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_897/full/250,/0/default.jpg"
01456,sm476958d68fa524824ad92b6f989b1c5da,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_896,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_896/full/250,/0/default.jpg"
